time,mass,P_covariance,Tyf_engine,Tyf_brake,Tyr_brake,theta,vx,ax,ay,steer,flag_new_dataset
7.900000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,0.000000000000000000e+00,8.588645487924416955e+01,0.000000000000000000e+00,-0.000000000000000000e+00,1.720899650431460870e+01,-2.166900278675354674e-01,9.052561337108292472e-01,-3.004145437369293847e-01,0.000000000000000000e+00
8.000000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,2.365464565767688931e+00,7.807682742748421667e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.699323355092520060e+01,-1.857131058629827580e-01,8.858069560079224747e-01,-3.038272324971877381e-01,0.000000000000000000e+00
8.100000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,4.922698589662560131e+00,4.000933550125454374e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691957882647674083e+01,-1.896463853207886741e-01,8.424229829605772712e-01,-2.691029507694355227e-01,0.000000000000000000e+00
8.200000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,9.721529845568069206e+00,5.843161891383839013e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.670685026306133381e+01,-1.065610744577012853e-01,8.632420305168448937e-01,-3.219224011677156994e-01,0.000000000000000000e+00
8.300000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,1.254373410961648361e+01,2.148956603394451825e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.662087667094927212e+01,-1.003433079608916645e-01,8.172449870988544030e-01,-2.770268932608702661e-01,0.000000000000000000e+00
8.400000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,1.529716224927012114e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.657246526957119670e+01,-7.388242254077585780e-02,8.094959839924722456e-01,-3.092711471248247301e-01,0.000000000000000000e+00
8.500000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,1.721051003052938455e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.651259724365866788e+01,-1.264532296170198522e-01,8.491174640506250482e-01,-2.967233418479741647e-01,0.000000000000000000e+00
8.600000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,2.247409340726446203e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.646478790070995757e+01,1.725638921633093972e-02,8.196549908424082265e-01,-2.808956583538391727e-01,0.000000000000000000e+00
8.700000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,2.051477927686692482e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.633678128534898732e+01,-1.119591630160851267e-02,8.628653309237138691e-01,-2.747824181277762623e-01,0.000000000000000000e+00
8.800000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,2.297991849060275982e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.647296401954472600e+01,-6.555499893436225745e-02,7.986964920082915143e-01,-2.889322691112066743e-01,0.000000000000000000e+00
8.900000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,2.168161796070942415e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.634901550809586723e+01,-2.984840264307707033e-02,7.136634747444008386e-01,-2.755086893881126819e-01,0.000000000000000000e+00
9.000000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,2.186915661881212358e+01,1.865445352828663417e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.630034044083266309e+01,-4.613269845940932284e-02,6.205110940157064769e-01,-2.085737353961736595e-01,0.000000000000000000e+00
9.100000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,2.446129244971748307e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.635940442793351934e+01,1.044038352280437718e-02,4.611176085978951344e-01,-1.795494492230529648e-01,0.000000000000000000e+00
9.200000000000000000e+01,4.177220000000000255e+03,1.000000000000000000e+02,2.290431238059480634e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.636188131734892792e+01,-5.985282772851902022e-03,3.539008745697139746e-01,-1.252543142743875459e-01,0.000000000000000000e+00
